ASV_ID	H11	H12	H13	H15	H16	H1	H3	H4	H5	H6	H7	H8	HR01	HR02	HR03	HR04	HR05	HR06	HR07	HR08	HR09	HR10	HR11	HR12	HR13	HR14	HR15	HR16	HR17	HR18	HR19	HR20	HR21	HR22	HR23	HR24	HR25	HR26	HR27	HR28	HR29	HR30	HR31	HR32	HR33	HR34	HR35	HR36	HR37	HR38	HR39	HR40	HR41	HR42	HR43	HR44	HR45	HR46	HR47	HR49	HR50	HR51	HR52	HR53	HR54	HR55	HR56	HR57	HR58	HR59	HR60	HR61	HR62	HR63	HR64	HR65	HR66	HR67	HR68	HR69	HR71	Han01	Han02	Han03	Han04	Han05	Han06	Han07	Han08	Han09	Han10	Han11	Han12	Han13	Han14	Han15	Han16	Han17	Han18	Han19	Han20	Han21	Han22	Han23	Han25	Han26	Han27	Han28	Han29	Han30	Han31	Han32	Han33	Han34	Han35	Han36	Han37	Han38	Han39	Han40	Han41	Han42	Han43	Han44	Han45	Han46	Han47	Han48	Han49	Han50	Han51	P1NTC1	P1NTC2	P1NTC3	P1PCRpos	P1extneg	P2NTC1	P2NTC2	P2NTC3	P2PCRpos	P2extneg1	P2extneg2	P3NTC1	P3NTC2	P3NTC3	P3PCRpos	P3extneg	Py10	Py11	Py12	Py13	Py14	Py15	Py16	Py17	Py18	Py19	Py1	Py20	Py22	Py24	Py25	Py26	Py27	Py28	Py29	Py2	Py30	Py31	Py32	Py33	Py34	Py35	Py36	Py37	Py38	Py39	Py3	Py40	Py41	Py42	Py43	Py44	Py45	Py46	Py47	Py48	Py4	Py51	Py52	Py53	Py54	Py55	Py56	Py57	Py58	Py59	Py5	Py60	Py61	Py62	Py63	Py64	Py65	Py66	Py67	Py68	Py69	Py6	Py70	Py71	Py72	Py73	Py75	Py78	Py79	Py7	Py80	Py81	Py82	Py83	Py84	Py85	Py86	Py87	Py88	Py8	Py9
1586471512d732c54caa189a81e04cfd	0	35215	0	43889	36	0	0	16	20	33	11703	34	22555	54250	0	13086	104	91	83	11	55	38427	42767	26	28	80681	20483	18819	36292	0	0	175	70072	130	64125	56	48	251	162	77	91	155	38514	26489	53335	87756	61019	79293	97	13437	55946	56558	99	52165	75677	75	55	65	85	45	88	549	24	8987	2119	119	85	26	85598	26667	47733	22	58767	185	167	46648	56294	13021	41454	0	0	77	15	44	11	0	45	12	10	36	35	37	14	5	21	9	43	50	48	32	0	26	18	17	40	9	24	23	22	27	17	18	0	0	26	15	31	24	14	0	36	16	31	27	39	0	0	9	0	0	0	0	0	0	21	0	0	0	0	12	0	3	0	0	0	21	0	6	17	42	25	24	31	26	21	8	23	31	14	13	39	28	14	0	5	12	32	33	42	29	15	18	29	16	29	0	19	21	34	22	20	9	12	13	30	9	21	32	15	23	0	19	20	11	13	23	4	22	0	9	13	35	27	27	26	0	21	8	24	20	48	16	29	40	12	24	38	12	20	27	16	18	18	0	7	24	34	39
68caf98421e506e1f9ea8db1c79b9b68	0	0	0	0	18	0	0	21	16	25	0	23	18299	26981	85	11565	60	38	54	0	182	0	0	64	101	56681	25632	21758	30734	29	134	72	65110	38	0	36	44	62	55	24	35	46	36141	30246	41712	67755	67000	70643	0	10672	89974	54555	29	42197	76360	39	45	41	15	10	19	2565	18	0	4201	45	60	35	95980	0	11582	28	18042	31	41	70560	0	16983	0	148	0	27	14	10	4	7	19	11	0	26	31	24	0	7	12	9	40	36	26	34	13	17	17	0	44	13	21	15	10	26	9	7	0	9	21	8	22	26	7	0	24	16	14	13	15	6	6	7	0	0	0	0	2	0	10	0	0	0	0	5	0	0	0	0	0	14	0	0	7	25	18	10	21	10	13	4	8	13	7	6	23	9	6	0	9	3	28	18	23	20	15	8	15	7	13	4	12	10	17	15	9	5	4	0	19	0	12	25	0	18	0	4	14	11	9	9	0	9	0	10	9	21	20	11	15	3	0	0	20	11	25	14	16	19	0	13	12	9	19	28	13	12	6	9	7	11	32	23
2cfb7522e9e5547d5df152690a558825	0	37	31	27	0	33	0	0	24	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	39	46	0	0	29	0	21	29	21	28	0	0	24	0	0	0	44	28	30	0	0	0	17	0	0	0	0	21	0	20	0	0	0	0	0	34	0	31	0	45	0	42	25	0	22	43	56	51	0	0	0	13	21	0	0	25	0	7	16	26	26	0	0	0	0	20	41	0	20	0	0	24	11	0	0	0	0	0	13	0	0	0	0	17	0	22	9	0	0	31	0	0	0	23	0	0	0	0	0	9	0	0	0	14	0	3	0	0	13	0	0	0	0	0	17	0	10423	9791	24265	16084	4785	13681	16271	20889	4829	4672	17154	5491	6593	5381	4212	11681	14931	10671	7607	16548	26789	21383	24234	14590	11328	15524	16093	10950	13972	20935	16597	11978	17495	10261	5118	5741	3273	6388	4078	4339	19749	11212	16843	75	7653	5405	7055	5670	4182	799	7576	427	1026	17408	21363	17354	17342	14425	13728	10000	8484	14782	20737	20968	11525	2492	3166	657	520	16043	1214	769	922	1605	1580	898	363	1069	817	22280	26959
687d35fcceb1b41532cb5a1b39978810	11	12	12	0	13	10	0	5	15	10	0	7	0	17	12	0	0	17	12	0	9	7	9	12	0	8	7	5	0	0	12	20	22	0	7	4	249	22	0	13	8	6	10	10	15	9	7	28	19	13	0	14	8	11	12	6	0	0	14	3	8	0	0	4	0	0	0	0	12	16	16	16	0	6	0	12	27	22	14	11	0	44201	12480	23356	2021	1016	29044	19636	157	22178	18304	33050	0	11383	7944	1494	17637	35594	30617	23999	23280	24361	7391	10802	27903	2446	20064	7427	20103	5473	20053	7252	19145	1656	20881	3907	26139	1465	14600	300	21934	2703	21152	2183	21265	15450	240	2457	0	0	3216	0	0	0	0	715	0	0	0	5	0	0	4	0	0	0	0	77	75	127	85	30	145	245	257	65	58	595	71	93	72	79	332	349	245	203	607	392	269	273	216	243	286	305	178	134	231	675	39	92	63	17	25	15	22	18	8	517	67	64	0	20	0	16	16	10	0	579	7	0	62	51	35	36	39	39	41	35	1797	44	71	30	6647	8051	5042	4563	216	5610	8148	4721	8474	5925	4679	4279	7326	7077	233	207
9eed950fd3e07899a493ba1bdc7b17d5	0	0	0	0	0	25	0	0	0	0	0	0	0	0	4	0	21	0	0	0	0	0	0	0	0	0	0	0	7	0	0	58357	35	0	0	0	0	102384	79074	71817	60446	60687	0	0	32	0	0	17	0	0	0	0	0	0	0	0	0	0	0	9	9	0	0	0	0	0	0	0	0	0	28	7	15	28	0	16	18	0	0	0	0	0	6	6	0	0	0	0	0	0	4	8	0	0	0	0	0	7	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	6	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	8	0	0	0	0	6	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
8ec223869c46eaf52ffbf419f138910b	17	0	17	8	0	0	0	0	0	10	0	0	0	0	0	0	0	0	14	0	13	9	0	0	0	13	0	0	0	10	20	0	10	0	14	11	0	0	14	0	0	17	0	0	0	12	0	25	22	13	0	8	11	0	10	0	0	0	0	0	17	0	0	0	0	10	0	20	14	0	0	0	22	24	0	0	15	16	0	0	0	18	0	12	0	0	17	8	0	10	0	0	0	0	0	0	9	13	0	10	0	0	0	7	12	8	16	0	0	6	11	18	0	0	10	8	0	4	0	0	0	9	11	7	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	10	0	5404	4361	7898	7593	7916	2499	2261	3697	4890	6005	711	8827	7494	8881	3068	1498	3060	2367	958	835	6812	4250	5741	5067	1014	1359	1455	714	657	730	801	6612	6708	4672	4647	7975	9466	8402	4863	12556	2407	1004	1304	172	9507	10047	14594	11125	8852	3078	6553	716	4295	4072	3773	3233	2721	2250	2641	2358	1921	7720	2815	3219	1772	547	606	1071	750	3712	0	1353	652	486	627	281	138	785	523	6899	8908
2c674dd5dcc493fc0bad82c12f46397e	11	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	14	0	9	0	0	0	0	0	2	0	0	0	0	10	8	0	6	10	0	0	0	6	5	0	0	0	10	0	0	0	0	0	0	0	6	0	0	0	0	0	7	0	0	0	6	0	0	8	0	0	0	0	7	7	0	0	0	0	0	0	0	0	0	5819	5512	4869	4211	10808	4190	2367	3504	2911	7750	4621	2538	2294	2294	7639	2738	7507	5251	4230	6634	3749	6472	2105	5039	18574	2928	10756	2622	11510	2741	6330	1964	11331	3689	15570	2241	12820	1941	2993	4635	9938	3847	16212	3089	1974	10068	5829	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	45	26	0	0	24	72	87	147	0	25	368	29	0	37	0	247	115	93	136	338	106	102	95	98	138	175	136	340	302	297	421	49	90	85	0	27	0	17	0	0	223	57	78	0	0	0	0	0	0	0	256	0	3	45	40	29	33	29	51	57	40	320	99	138	66	145	194	2049	2553	30	643	1751	1264	1989	2938	1240	1861	3316	2510	51	33
72143fd9e63fe40c1258948d2f0d79c3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	6882	3224	5382	1762	12352	4780	2877	5295	3494	8364	5395	3227	3234	3102	2995	3662	8119	5376	5267	6327	4734	7849	3090	7610	3084	3802	11704	2679	3877	3443	1611	2502	11451	3835	4601	3156	2087	2441	3273	5904	9568	5125	16183	3767	2611	2871	6731	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	40	22	34	13	0	97	97	122	25	19	458	35	25	36	27	203	94	85	103	356	102	76	74	55	110	141	116	551	398	468	464	97	75	82	31	33	26	40	32	0	243	76	101	0	39	32	21	7	16	0	155	5	0	74	70	68	51	56	72	62	48	205	109	145	72	192	268	1566	2031	48	376	1165	788	1526	2217	888	952	1668	1306	42	35
1e101123b6fb13baf825e9f6072601e6	0	0	0	0	0	0	0	0	0	4	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	2	2	0	0	18185	0	0	0	0	2	2	4	2	6	0	2	0	0	0	4	0	0	2	62245	54731	52564	0	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	4	0	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d22b9adf01eac3584c65e50115fe46d4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56696	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15903	0	0	0	0	0	21889	335	0	45030	0	0	0	41398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
