SpectrumID	#Scan#	SpectrumFile	LibraryName	MQScore	TIC_Query	RT_Query	MZErrorPPM	SharedPeaks	MassDiff	SpecMZ	SpecCharge	FileScanUniqueID	NumberHits	Compound_Name	Ion_Source	Instrument	Compound_Source	PI	Data_Collector	Adduct	Precursor_MZ	ExactMass	Charge	CAS_Number	Pubmed_ID	Smiles	INCHI	INCHI_AUX	Library_Class	IonMode	Organism	LibMZ	UpdateWorkflowName	LibraryQualityString	tags	molecular_formula	InChIKey	InChIKey-Planar	superclass	class	subclass	npclassifier_superclass	npclassifier_class	npclassifier_pathway	library_usi
CCMSLIB00013576611	5006	spectra_filtered.mgf	CMMC-FOOD-BIOMARKERS.mgf	0.998621	15952000000.0	0	0.808553	6	0.000106812	132.102	1	temp/spectra_filtered.mgf5006	1	Isoleucine (known structural isomers: 1; isobaric peaks in run: 1)	LC-ESI	Orbitrap	Crude	Pieter Dorrestein	Julius	[M+H]+	132.102	131.095	1	N/A	N/A	CC[C@H](C)[C@@H](C(=O)O)N	InChI=1S/C6H13NO2/c1-3-4(2)5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t4-,5-/m0/s1	InChI=1S/C6H13NO2/c1-3-4(2)5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t4-,5-/m0/s1 [M+H]+	1	Positive	CMMC-FOOD-BIOMARKERS	132.102	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C6H13NO2	AGPKZVBTJJNPAG-WHFBIAKZSA-N	AGPKZVBTJJNPAG	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Small peptides	Aminoacids	Amino acids and Peptides	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00013576611
CCMSLIB00010111580	23289	spectra_filtered.mgf	BERKELEY-LAB.mgf	0.99788	3927000000.0	0	2.24071	7	0.000396729	177.055	1	temp/spectra_filtered.mgf23289	1	ferulic acid CollisionEnergy:102040	LC-ESI	Orbitrap	Commercial	Trent Northen	JGI	M+H-H2O	177.055	0.0	1	N/A	N/A	COc1cc(C=CC(=O)O)ccc1O	"""InChI=1S/C10H10O4/c1-14-9-6-7(2-4-8(9)11)3-5-10(12)13/h2-6,11H,1H3,(H,12,13)/b5-3+"""	N/A	3	Positive	BERKELEY-LAB	177.055	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C10H10O4	KSEBMYQBYZTDHS-UHFFFAOYSA-N	KSEBMYQBYZTDHS	Phenylpropanoids and polyketides	Cinnamic acids and derivatives	Hydroxycinnamic acids and derivatives	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives	Shikimates and Phenylpropanoids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00010111580
CCMSLIB00016339705	112644	spectra_filtered.mgf	GNPS-N-ACYL-LIPIDS-MASSQL.mgf	0.997806	867370000.0	0	3.25107	8	0.00088501	272.222	1	temp/spectra_filtered.mgf112644	1	Candidate Alanine/Sarcosine-C12:0 (delta mass:182.1664)	LC-ESI	Orbitrap	Crude	Pieter Dorrestein	helenamrusso	M+H	272.221	272.221	0	N/A	N/A	CCCCCCCCCCCC(=O)N[C@@H](C)C(=O)O	InChI=1S/C15H29NO3/c1-3-4-5-6-7-8-9-10-11-12-14(17)16-13(2)15(18)19/h13H,3-12H2,1-2H3,(H,16,17)(H,18,19)/t13-/m0/s1	N/A	4	Positive	GNPS-N-ACYL-LIPIDS-MASSQL	272.221	UPDATE-SINGLE-ANNOTATED-BRONZE	Insilico		C15H29NO3	UYTOHYBIBPDOKX-ZDUSSCGKSA-N	UYTOHYBIBPDOKX	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Fatty amides	N-acyl amines	Fatty acids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00016339705
CCMSLIB00016339563	95282	spectra_filtered.mgf	GNPS-N-ACYL-LIPIDS-MASSQL.mgf	0.997648	847600000.0	0	2.43701	8	0.000595093	244.191	1	temp/spectra_filtered.mgf95282	1	Candidate Alanine/Sarcosine-C10:0 (delta mass:154.1352)	LC-ESI	Orbitrap	Crude	Pieter Dorrestein	helenamrusso	M+H	244.19	244.19	0	N/A	N/A	CCCCCCCCCC(=O)N[C@@H](C)C(=O)O	InChI=1S/C13H25NO3/c1-3-4-5-6-7-8-9-10-12(15)14-11(2)13(16)17/h11H,3-10H2,1-2H3,(H,14,15)(H,16,17)/t11-/m0/s1	N/A	4	Positive	GNPS-N-ACYL-LIPIDS-MASSQL	244.19	UPDATE-SINGLE-ANNOTATED-BRONZE	Insilico		C13H25NO3	KMJDEJIZLJQIQI-NSHDSACASA-N	KMJDEJIZLJQIQI	N/A	N/A	N/A	Fatty amides	N-acyl amines	Fatty acids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00016339563
CCMSLIB00010111580	28188	spectra_filtered.mgf	BERKELEY-LAB.mgf	0.997525	429900000.0	0	2.24071	7	0.000396729	177.055	1	temp/spectra_filtered.mgf28188	1	ferulic acid CollisionEnergy:102040	LC-ESI	Orbitrap	Commercial	Trent Northen	JGI	M+H-H2O	177.055	0.0	1	N/A	N/A	COc1cc(C=CC(=O)O)ccc1O	"""InChI=1S/C10H10O4/c1-14-9-6-7(2-4-8(9)11)3-5-10(12)13/h2-6,11H,1H3,(H,12,13)/b5-3+"""	N/A	3	Positive	BERKELEY-LAB	177.055	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C10H10O4	KSEBMYQBYZTDHS-UHFFFAOYSA-N	KSEBMYQBYZTDHS	Phenylpropanoids and polyketides	Cinnamic acids and derivatives	Hydroxycinnamic acids and derivatives	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives	Shikimates and Phenylpropanoids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00010111580
CCMSLIB00016339705	107225	spectra_filtered.mgf	GNPS-N-ACYL-LIPIDS-MASSQL.mgf	0.997503	23142000000.0	0	3.25107	8	0.00088501	272.222	1	temp/spectra_filtered.mgf107225	1	Candidate Alanine/Sarcosine-C12:0 (delta mass:182.1664)	LC-ESI	Orbitrap	Crude	Pieter Dorrestein	helenamrusso	M+H	272.221	272.221	0	N/A	N/A	CCCCCCCCCCCC(=O)N[C@@H](C)C(=O)O	InChI=1S/C15H29NO3/c1-3-4-5-6-7-8-9-10-11-12-14(17)16-13(2)15(18)19/h13H,3-12H2,1-2H3,(H,16,17)(H,18,19)/t13-/m0/s1	N/A	4	Positive	GNPS-N-ACYL-LIPIDS-MASSQL	272.221	UPDATE-SINGLE-ANNOTATED-BRONZE	Insilico		C15H29NO3	UYTOHYBIBPDOKX-ZDUSSCGKSA-N	UYTOHYBIBPDOKX	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Fatty amides	N-acyl amines	Fatty acids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00016339705
CCMSLIB00010111580	38130	spectra_filtered.mgf	BERKELEY-LAB.mgf	0.997332	631900000.0	0	2.24071	7	0.000396729	177.055	1	temp/spectra_filtered.mgf38130	1	ferulic acid CollisionEnergy:102040	LC-ESI	Orbitrap	Commercial	Trent Northen	JGI	M+H-H2O	177.055	0.0	1	N/A	N/A	COc1cc(C=CC(=O)O)ccc1O	"""InChI=1S/C10H10O4/c1-14-9-6-7(2-4-8(9)11)3-5-10(12)13/h2-6,11H,1H3,(H,12,13)/b5-3+"""	N/A	3	Positive	BERKELEY-LAB	177.055	UPDATE-SINGLE-ANNOTATED-BRONZE	Bronze		C10H10O4	KSEBMYQBYZTDHS-UHFFFAOYSA-N	KSEBMYQBYZTDHS	Phenylpropanoids and polyketides	Cinnamic acids and derivatives	Hydroxycinnamic acids and derivatives	Phenylpropanoids (C6-C3)	Cinnamic acids and derivatives	Shikimates and Phenylpropanoids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00010111580
CCMSLIB00012360885	11342	spectra_filtered.mgf	MSNLIB-POSITIVE.mgf	0.997252	3307700000.0	0	0.854451	8	0.000198364	232.154	1	temp/spectra_filtered.mgf11342	1	Butyrylcarnitine	ESI	Orbitrap	Crude	Tomas Pluskal	Corinna Brungs	[M]+	232.154	232.154	1	N/A	N/A	CCCC(=O)O[C@H](CC(=O)O)C[N+](C)(C)C	InChI=1S/C11H21NO4/c1-5-6-11(15)16-9(7-10(13)14)8-12(2,3)4/h9H,5-8H2,1-4H3/p+1/t9-/m1/s1	QWYFHHGCZUCMBN-SECBINFHSA-O	1	Positive	MSNLIB-POSITIVE	232.154	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		N/A	QWYFHHGCZUCMBN-SECBINFHSA-O	QWYFHHGCZUCMBN	Lipids and lipid-like molecules	Fatty Acyls	Fatty acid esters	N/A	N/A	N/A	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00012360885
CCMSLIB00012331578	19780	spectra_filtered.mgf	MSNLIB-POSITIVE.mgf	0.997156	571000000.0	0	0.805802	8	0.000198364	246.17	1	temp/spectra_filtered.mgf19780	1	pentanoylcarnitine	ESI	Orbitrap	Crude	Tomas Pluskal	Corinna Brungs	[M]+	246.17	246.17	1	N/A	N/A	CCCCC(=O)O[C@H](CC(=O)O)C[N+](C)(C)C	InChI=1S/C12H23NO4/c1-5-6-7-12(16)17-10(8-11(14)15)9-13(2,3)4/h10H,5-9H2,1-4H3/p+1/t10-/m1/s1	VSNFQQXVMPSASB-SNVBAGLBSA-O	1	Positive	MSNLIB-POSITIVE	246.17	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		N/A	VSNFQQXVMPSASB-SNVBAGLBSA-O	VSNFQQXVMPSASB	Lipids and lipid-like molecules	Fatty Acyls	Fatty acid esters	N/A	N/A	N/A	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00012331578
CCMSLIB00013057226	58886	spectra_filtered.mgf	MSNLIB-POSITIVE.mgf	0.997119	40264000000.0	0	0.58861	12	0.000183105	311.081	1	temp/spectra_filtered.mgf58886	1	sulfadimethoxine	ESI	Orbitrap	Commercial	Tomas Pluskal	Corinna Brungs	[M+H]+	311.081	310.074	1	N/A	N/A	COc1nc(OC)nc(NS(=O)(=O)c2ccc(N)cc2)c1	InChI=1S/C12H14N4O4S/c1-19-11-7-10(14-12(15-11)20-2)16-21(17,18)9-5-3-8(13)4-6-9/h3-7H,13H2,1-2H3,(H,14,15,16)	ZZORFUFYDOWNEF-UHFFFAOYSA-N	1	Positive	MSNLIB-POSITIVE	311.081	UPDATE-SINGLE-ANNOTATED-GOLD	Gold		C12H14N4O4S	ZZORFUFYDOWNEF-UHFFFAOYSA-N	ZZORFUFYDOWNEF	Benzenoids	Benzene and substituted derivatives	Benzenesulfonamides			Alkaloids	mzspec:GNPS:GNPS-LIBRARY:CCMSLIB00013057226
