cluster index	parent mass	RTMean	component	#Scan#	Compound_Name
301	100.01109629616263	0.54703593	-1		
36	100.02430212536083	0.52969545	-1		
10083	100.02430841473426	1.6225	-1		
9259	100.07153147055752	1.4078839	-1		
9229	100.0756328608512	1.3988941	-1		
15984	100.075644795989	2.5838964	-1		
10355	100.07564578507434	1.5964224	-1		
12810	100.07565173634308	2.0387812	-1		
69092	100.07565232805008	6.8954234	-1		
87309	100.07565445233844	8.769709	-1		
19384	100.11202747583816	3.0346143	-1		
9529	100.11202896124192	1.4834651	-1		
39816	100.11203418260487	4.672748	-1		
6902	100.11204724594543	1.0960532	-1		
107938	100.50987703432595	10.2906	-1		
105786	100.5098773328888	10.151225	-1		
101829	100.50987821308097	9.9479685	-1		
241	100.50988075981635	0.5404898	-1		
103703	100.5098798645681	10.042024	-1		
293	100.51267934626394	0.5581945	-1		
230	100.96697712729684	0.5465084	-1		
21359	101.02326754985036	3.2145844	-1		
85925	101.05964992910144	8.652091	-1		
98599	101.05965291389592	9.696892	-1		
66678	101.05965417283645	6.6833587	-1		
68957	101.0596542541172	6.884011	-1		
54972	101.05965455419653	5.7862844	-1		
49716	101.05965583905152	5.359543	-1		
28549	101.0596561825999	3.8784375	-1		
97107	101.05965542998251	9.626603	-1		
89179	101.05965569217518	8.98144	-1		
53505	101.05965678819294	5.689519	-1		
71096	101.059658511502	7.054518	-1		
46876	101.05965870960334	5.268191	-1		
12546	101.05966038073588	2.0387769	-1		
18118	101.0596609518225	2.8939245	-1		
26513	101.05966159840632	3.6581173	-1		
64314	101.05966265804598	6.50457	-1		
34730	101.05966330458467	4.31154	-1		
7136	101.05966720768312	1.1259822	-1		
15238	101.05967037867588	2.450451	-1		
3291	101.05968027216298	0.7795849	-1		
140511	101.07089221860495	11.877752	-1		
137003	101.07089545323728	11.763361	-1		
134271	101.07089590971982	11.59982	-1		
128303	101.07089764388527	11.4197445	-1		
131266	101.07089944030352	11.50985	-1		
9260	101.07899117898369	1.4025962	-1		
44660	101.09603435196917	5.078027	-1		
4819	101.10730164710904	0.899793	-1		
670	101.97703997204168	0.6006549	-1		
8255	102.01298412531916	1.2535608	175		
118	102.02185490863803	0.5305204	-1		
89015	102.03378217292774	8.974602	-1		
5077	102.03878473346929	0.91768813	-1		
1493	102.05492355729989	0.62964165	-1		
3772	102.05492651725258	0.8154149	175		
9307	102.0798754200166	1.4135017	-1		
15670	102.09129784946012	2.5605876	-1		
13434	102.09130299124227	2.19076	-1		
17461	102.09130450973312	2.7997513	-1		
12655	102.0913048093322	2.0699916	-1		
11473	102.0913058720136	1.878702	-1		
1283	102.09131454215564	0.6261078	-1		
5097	102.09135244212553	0.90379125	-1		
10815	102.12296642527468	1.6650864	175		
2654	102.12325952802976	0.6666708	175		
4214	102.12336680048584	0.8294601	175		
8231	102.12306396361184	1.2062703	-1		
7047	102.1233374021256	1.0614322	175		
6396	102.1234253568284	0.96024287	175		
3063	102.12343842093448	0.75973284	-1		
1876	102.12766922447906	0.66242945	175		
3776	102.12767518618044	0.82383263	175		
9771	102.1276787420178	1.5837294	-1		
10318	102.1276816233966	1.6469288	-1		
8797	102.12768460530204	1.2791761	-1		
5343	102.1276905714465	0.88834536	-1		
6671	102.12769479351064	1.0173169	175		
3788	102.13195340913404	0.8228531	175		
7867	102.1318777952192	1.1410295	175		
10605	102.1318839607652	1.6750871	175		
2232	102.13201798040556	0.6911549	175		
6311	102.1319410844337	0.9790763	175		
7406	102.13228900353435	1.0929998	-1		
3408	102.13361888787232	0.79521805	175		
6747	102.13371002505995	1.0549182	175		
161	102.97021916276982	0.54459864	-1		
70502	103.03893104761248	7.0204825	-1		
14784	103.03893337749292	2.4029539	-1		
48367	103.03893451674038	5.329623	-1		
7621	103.03894159681516	1.172592	7422		
8220	103.0541953010104	1.246498	-1		
115292	103.07529790957152	10.682123	-1		
74541	103.07530818803367	7.3788733	4368		
19970	103.07531307320072	3.0931602	-1		
72922	103.07531335926072	7.2298894	-1		
12832	103.07531967644152	2.0820682	-1		
28413	103.07532365030058	3.8124444	-1		
18955	103.0753243281953	2.9622865	4368		
1776	103.13104941493448	0.6608856	7422		
3750	103.13105222948812	0.8231489	7422		
9522	103.54229888289346	1.476373	-1		
77402	104.03417407667278	7.6898503	-1		
78548	104.03417629831203	7.810111	-1		
65246	104.03418492924484	6.56573	-1		
62911	104.03419341918912	6.4046116	-1		
3321	104.07056012477572	0.776761	-1		
4587	104.07056423427088	0.8387949	-1		
116024	104.07056606232727	10.737231	-1		
20927	104.07056870110026	3.2251952	-1		
1179	104.07056901914476	0.6296272	-1		
7016	104.07057000364289	1.1191722	-1		
950	104.10694931653592	0.6071509	-1		
